Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.nick.memasik,,,ru,ASUS_X00BD_1,2018-02-01T01:13:37Z,1517447617101,2018-02-01T01:13:59Z,1517447639748,5,,,,,,
com.nick.memasik,31,1.1.3,ru,j1minivelte,2018-02-01T03:37:16Z,1517456236308,2018-02-01T03:38:48Z,1517456328897,5,,Ахаха как смешно,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=a8d8b784-1844-4230-a3b2-8f7327ebeed9&corpus=PUBLIC_REVIEWS
com.nick.memasik,,,ru,santoni,2018-02-01T05:09:59Z,1517461799489,2018-02-01T05:10:01Z,1517461801531,5,,,,,,
com.nick.memasik,,,ru,A369i,2018-02-01T05:18:51Z,1517462331145,2018-02-01T05:18:58Z,1517462338919,5,,,,,,
com.nick.memasik,31,1.1.3,ru,santoni,2018-02-01T08:08:12Z,1517472492918,2018-02-01T08:08:15Z,1517472495195,5,,,,,,
com.nick.memasik,,,pl,santoni,2018-02-01T09:08:55Z,1517476135195,2018-02-01T09:08:55Z,1517476135195,5,,,,,,
com.nick.memasik,,,ru,K10000,2018-01-22T03:44:43Z,1516592683626,2018-02-01T13:03:46Z,1517490226553,5,,,,,,
com.nick.memasik,,,tr,goyavewifi,2018-02-01T13:11:11Z,1517490671588,2018-02-01T13:11:11Z,1517490671588,5,,,,,,
com.nick.memasik,,,ru,HWSLA-Q,2018-02-01T13:17:47Z,1517491067355,2018-02-01T13:18:17Z,1517491097379,5,,Клёво но мало картинок для мемов,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=fceddda8-cf0a-4f4d-b415-c515ca56f3fb&corpus=PUBLIC_REVIEWS
com.nick.memasik,,,ru,rolex,2018-02-01T15:06:18Z,1517497578639,2018-02-01T15:06:32Z,1517497592469,5,,,,,,
com.nick.memasik,31,1.1.3,ru,rolex,2018-02-01T17:07:46Z,1517504866307,2018-02-01T17:08:01Z,1517504881989,5,,,,,,
com.nick.memasik,,,ru,j1mini3gxw,2018-02-01T17:38:40Z,1517506720720,2018-02-01T17:38:42Z,1517506722185,4,,,,,,
com.nick.memasik,31,1.1.3,es,p1bssn,2018-02-01T22:13:17Z,1517523197230,2018-02-01T22:13:29Z,1517523209171,5,,,,,,
com.nick.memasik,,,es,TB3-710F,2018-02-02T01:09:31Z,1517533771420,2018-02-02T01:11:17Z,1517533877206,5,,No me gustó del todo pero...!ESTA BUENA JAJAJAJA¡5 STARS,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=301cc342-2f9a-471f-a8a7-5e2c36595259&corpus=PUBLIC_REVIEWS
com.nick.memasik,31,1.1.3,ru,rolex,2018-02-02T05:58:23Z,1517551103609,2018-02-02T05:58:59Z,1517551139631,5,,Крутое приложение,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=32506031-4d30-4313-80f3-ffe86ea18fc8&corpus=PUBLIC_REVIEWS
com.nick.memasik,,,ru,S660,2018-02-02T09:11:08Z,1517562668364,2018-02-02T09:11:12Z,1517562672155,4,,,,,,
com.nick.memasik,,,ru,j1xlte,2018-02-02T09:14:43Z,1517562883074,2018-02-02T09:14:47Z,1517562887002,5,,,,,,
com.nick.memasik,31,1.1.3,ru,BQS-5030,2018-02-02T09:29:22Z,1517563762732,2018-02-02T09:30:21Z,1517563821867,5,,Делаю мемасики каждый день !!!!!!!!!!!!(★_★),,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=0c865f19-3964-4c9a-9c91-678f74cf0e7c&corpus=PUBLIC_REVIEWS
com.nick.memasik,31,1.1.3,ru,m253,2018-02-02T09:42:39Z,1517564559169,2018-02-02T09:43:25Z,1517564605033,5,,Мне нравится,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=ddd5284a-09c5-4cc9-b086-c9bdfb478cc5&corpus=PUBLIC_REVIEWS
com.nick.memasik,31,1.1.3,ru,M3s,2018-02-02T12:43:02Z,1517575382666,2018-02-02T12:43:12Z,1517575392402,5,,Лол,,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=d8e224b8-d31a-4088-bd48-041d0b11f758&corpus=PUBLIC_REVIEWS
