Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.nick.memasik,,,pt,on7xelte,2020-02-01T03:34:16Z,1580528056950,2020-02-01T03:34:16Z,1580528056950,1,,,,,,
com.nick.memasik,162,4.4.5,es,a50,2020-02-01T04:20:09Z,1580530809084,2020-02-01T04:20:09Z,1580530809084,5,,,,,,
com.nick.memasik,162,4.4.5,id,Infinix_X510_sprout,2020-02-01T05:14:44Z,1580534084105,2020-02-01T05:14:44Z,1580534084105,1,,,,,,
com.nick.memasik,161,4.4.4,es,j1acelteltn,2020-02-01T05:58:53Z,1580536733539,2020-02-01T05:58:53Z,1580536733539,5,,"Me gusto mucho esta aplicacion , ya q yo solamente veia los memes , pues ahora los hago y antes de publicarlo yo me c*go de la risa con mis publicaciones :v",2020-02-04T15:39:53Z,1580830793381,Gracias por su comentario! :),http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=bb1ba82e-fed5-41f8-bbf8-9260aacc79ee&corpus=PUBLIC_REVIEWS
com.nick.memasik,162,4.4.5,ru,lotus,2020-02-01T06:12:51Z,1580537571053,2020-02-01T06:12:51Z,1580537571053,5,,"Очень круто, но надо бы поменьше рекламы",,,,http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=ede89a19-51e2-4777-9761-8db363901b43&corpus=PUBLIC_REVIEWS
com.nick.memasik,161,4.4.4,ru,HWAMN-M,2020-02-01T06:46:42Z,1580539602562,2020-02-01T06:46:42Z,1580539602562,5,,,,,,
com.nick.memasik,161,4.4.4,ru,a6lte,2020-02-01T07:19:45Z,1580541585769,2020-02-01T07:19:45Z,1580541585769,5,,,,,,
com.nick.memasik,161,4.4.4,es,cedric,2020-02-01T07:26:04Z,1580541964036,2020-02-01T07:26:04Z,1580541964036,5,,,,,,
com.nick.memasik,,,tr,F3311,2020-02-01T08:16:28Z,1580544988422,2020-02-01T08:16:28Z,1580544988422,5,,,,,,
com.nick.memasik,161,4.4.4,de,h1,2020-02-01T08:39:54Z,1580546394992,2020-02-01T08:39:54Z,1580546394992,5,,Gut,2020-02-04T15:54:33Z,1580831673238,Thanks for the feedback! :),http://play.google.com/console/developers/4768719844986755425/app/4973118153552701745/user-feedback/review-details?reviewId=20a93225-02ad-4bc0-8f89-659373cbf62d&corpus=PUBLIC_REVIEWS
